Blog	four	looking	here	music	until	want	travel	series	re	service	needed	project	tech	came	saying	best	asked	much	life	kids	things	had	easy	possible	right	old	people	o	support	happy	inside	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	city	future	san	say	take	drive	ways	going	where	many	wants	photos	former	technology	being	around	world	power	favorite	mean	image	her	am	having	th	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	also	play	set	see	available	let	community	recent	person	d	continue	anything	into	line	up	us	ago	code	results	try	video	great	makes	tools	next	high	move	doing	could	put	system	haven	fact	should	means	stuff	email	ve	site	off	less	web	government	five	become	does	worth	told	word	work	interview	then	them	they	network	another	do	away	com	launched	photo	night	post	months	way	together	change	live	car	write	product	still	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	food	real	read	early	using	business	your	start	lot	trying	building	month	very	learned	finally	actually	event	since	reason	american	pretty	x	close	won	probably	both	help	else	look	while	game	some	doesn	e	during	go	facebook	click	started	links	hit	him	front	keep	need	able	based	she	computer	key	problem	well	page	twitter	home	he	amp	companies	likely	even	new	ever	never	tell	rights	give	before	personal	better	went	used	open	content	isn	seen	don	m	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	popular	down	did	run	box	making	may	man	maybe	talk	nbsp	interesting	after	language	thing	think	first	little	were	paid	especially	show	get	enough	reading	across	according	those	different	pay	same	money	again	important	u	starting	issues	public	search	two	share	needs	plans	through	someone	everyone	house	hard	idea	done	least	part	b	build	most	find	please	simple	create	understand	fun	itself	spend	source	big	bit	google	often	back	either	single	entire	others	ll	day	announced	text	national	taking	almost	ios	thought	add	happens	buy	under	every	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	their	top	too	took	though	watch	amazon	report	news	several	everything	why	check	no	when	says	water	today	happened	name	turn	place	view	given	any	ideas	sure	state	outside	come	case	good	party	week	without	seems	blog	there	far	list	version	known	short	might	number	feel	story	kind	nothing	his	wrote	art	recently	question	long	called	nice	users	once	app	use	few	women	something	united	instead	our	out	york	update	which	who	april	last	gets	point	book	know	because	getting	own	made	other
mezzoblue	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	5	2	1	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	1	3	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0
Eschaton	0	1	2	0	1	1	0	0	3	0	0	0	0	0	0	0	0	6	0	1	3	4	0	0	2	3	10	0	1	3	0	0	4	0	2	2	0	0	1	2	6	2	0	6	0	5	2	2	0	0	1	1	0	0	3	3	4	1	0	0	0	1	3	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	5	0	0	2	0	1	0	0	0	3	0	3	1	0	6	0	1	0	0	2	0	1	0	0	1	6	1	2	2	1	1	0	0	2	0	2	0	2	2	0	1	0	0	0	0	1	0	0	0	2	0	4	8	22	0	0	10	0	0	0	0	4	1	0	2	0	0	2	0	1	0	2	4	2	2	1	1	2	0	0	2	4	1	0	0	4	0	1	1	1	0	0	0	7	1	4	0	1	0	3	0	0	6	0	1	2	2	2	0	0	0	1	2	3	1	0	3	0	5	2	0	0	1	0	0	0	0	1	1	2	0	1	1	1	0	0	0	2	2	0	0	0	1	0	0	1	9	4	1	1	0	0	1	0	0	1	0	2	0	0	3	0	10	4	4	0	4	0	0	0	0	7	1	0	7	0	1	0	0	0	4	1	0	0	1	0	2	1	0	0	0	0	5	7	2	0	5	1	2	2	5	4	2	1	2	3	1	1	2	2	1	0	0	0	0	1	0	1	0	0	0	3	2	1	1	0	1	1	0	3	0	2	4	2	1	0	0	0	1	0	0	0	4	3	0	0	3	1	1	1	2	2	1	0	0	0	1	2	0	1	0	0	0	0	4	5	0	0	4	3	1	0	4	0	0	0	1	0	2	1	7	0	6	0	3	0	0	1	2	0	1	4	0	10	6	2	4	1	0	0	1	2	0	1	3	0	5	3	0	2	0	4	2	2	1	2	0	3	2	0	0	2	0	4	0	0	4	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	2	2	1	0	1	3	0	0	4	6	0	1	1	1	0	7	1	0	1	2	4
ShoeMoney	0	2	10	0	2	3	0	0	0	1	0	0	0	2	0	4	1	5	0	2	1	9	0	1	0	1	2	0	1	4	0	0	9	1	0	1	1	2	1	0	22	9	0	3	5	2	0	0	0	0	4	0	0	0	3	4	2	0	0	0	0	3	1	1	0	0	0	0	2	8	2	0	0	0	0	0	2	0	0	4	0	0	1	3	0	3	4	1	1	1	0	1	1	0	2	1	0	1	4	0	7	7	8	2	1	0	3	4	0	0	4	0	0	4	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	1	1	1	0	1	1	10	2	8	4	0	10	0	7	0	0	2	4	2	2	3	0	7	0	1	3	0	7	8	2	0	2	3	0	3	0	1	1	0	1	3	3	0	2	1	0	0	1	8	2	6	0	0	0	6	3	0	2	2	2	0	0	5	1	0	0	1	1	2	0	2	0	1	5	0	0	3	9	3	8	6	0	0	2	0	0	0	1	0	4	0	0	0	3	2	0	0	13	0	3	0	0	8	4	1	4	0	1	1	0	0	2	1	3	1	1	1	11	1	2	0	1	0	0	0	2	5	3	0	4	0	3	0	0	1	1	1	2	2	1	0	0	2	0	0	2	0	3	0	13	0	5	2	0	12	10	0	0	0	0	0	1	1	1	8	0	0	0	1	0	1	0	0	1	0	0	2	0	1	2	2	0	3	0	0	0	0	7	3	0	0	1	0	0	0	0	0	2	1	3	0	4	1	0	0	0	0	3	0	0	0	1	0	0	2	0	2	1	0	4	5	0	0	13	38	0	1	7	1	2	5	0	5	1	0	4	0	1	3	0	0	0	0	0	3	1	1	5	4	10	0	0	10	0	2	0	0	0	0	3	0	1	0	0	5	0	6	0	0	0	0	4	6	2	1	0	0	4	0	0	1	2	2	0	6	1	0	1	2	1	1	0	0	1	1	2	1	0	4	0	0	8	8	0	0	1	5	1	3	1	1	1	4	2	2	5	2	6
Slashdot	0	1	2	0	1	0	1	1	3	0	0	4	1	0	1	0	0	1	3	0	1	5	0	1	0	2	9	1	1	0	2	0	1	3	1	0	2	0	0	4	1	4	0	0	0	1	0	1	4	0	0	1	0	0	0	5	1	0	0	0	2	0	1	6	5	0	0	0	0	0	0	0	2	1	0	1	1	0	0	11	1	2	12	0	3	0	4	0	2	0	0	0	0	3	0	1	1	0	2	1	8	1	2	2	2	1	1	0	2	0	4	0	0	1	4	3	1	0	1	2	0	0	2	1	0	4	0	2	0	1	1	3	2	0	2	1	0	1	3	9	3	0	2	1	1	1	0	0	2	1	1	0	3	1	1	1	1	0	2	7	0	1	0	7	4	1	1	0	1	0	0	2	0	0	1	16	2	5	3	4	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	3	0	5	1	7	1	1	7	1	0	1	1	0	3	0	2	2	3	1	1	0	1	1	1	0	1	8	0	4	1	2	10	1	1	0	0	1	0	1	1	2	1	8	1	2	0	0	1	0	0	6	2	0	0	0	4	3	0	1	6	0	1	2	1	0	0	0	1	4	0	0	0	0	0	5	5	0	2	2	0	4	1	1	3	1	1	0	2	4	2	2	0	0	1	0	1	3	0	0	4	1	3	0	0	0	1	1	0	2	0	1	0	1	1	0	0	3	2	0	1	0	0	0	0	0	1	1	2	12	2	2	0	2	0	1	0	0	3	1	0	0	2	1	1	0	0	0	2	4	0	0	0	0	1	0	3	2	0	2	3	2	0	0	0	8	1	2	0	1	0	4	9	6	1	1	0	2	3	4	5	0	1	0	0	0	0	0	0	4	1	0	0	0	0	1	1	0	3	2	0	2	2	1	2	2	2	1	0	4	0	15	1	0	2	2	0	0	0	2	3	0	2	1	3	4	3	0	1	2	0	1	2	3	1	8	5	1	6	0	0	0	0	2	0	0	4	4
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	0	0	0	2	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	4	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	5	0	0	0	0	3	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	1	3	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1	1	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	7	1	1	1	0	1	0	0	1	2	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	2	0	0	1	0	0	0	0	0	0
Gothamist	2	2	5	1	0	0	0	0	1	0	0	3	0	1	0	4	0	2	2	0	1	4	0	1	2	1	2	0	4	0	0	4	4	0	2	0	0	0	0	2	6	6	1	0	0	4	1	15	1	0	2	3	0	0	1	2	2	0	0	7	0	4	0	0	1	0	0	0	7	0	0	10	2	0	4	1	0	1	1	0	0	0	4	2	0	0	4	0	1	3	0	1	2	0	0	0	0	2	6	0	6	2	1	1	0	0	0	1	2	0	3	3	2	4	2	1	2	2	1	5	2	0	0	0	0	3	1	0	2	3	1	0	0	0	1	2	2	0	4	6	0	2	1	2	0	0	0	4	0	3	2	0	0	2	1	0	0	1	5	4	0	0	1	0	0	0	1	2	2	0	1	4	2	6	2	2	3	0	1	1	0	0	1	3	1	2	0	3	0	0	3	0	0	1	7	1	0	0	1	1	0	2	3	0	5	0	2	3	2	3	0	0	2	1	4	2	0	0	0	2	2	0	0	0	1	0	2	4	6	0	0	1	1	21	1	5	0	0	0	4	1	0	0	0	4	0	0	0	2	4	0	0	2	4	0	3	0	2	1	2	3	0	0	2	2	2	2	4	2	2	9	3	0	1	1	0	4	0	1	0	7	0	5	0	0	0	3	0	0	0	0	2	0	2	0	0	0	3	1	0	0	5	1	5	0	3	0	2	0	0	2	0	0	1	0	2	0	2	2	1	0	0	0	0	1	2	2	0	2	1	1	5	3	0	0	1	0	1	4	2	0	0	1	0	0	0	0	0	0	1	3	6	2	2	3	0	0	1	9	0	1	0	2	1	3	0	7	2	1	0	2	0	0	1	1	0	1	0	0	3	5	3	0	8	0	0	0	3	0	0	2	0	0	13	5	0	0	1	0	8	1	0	0	4	0	0	0	0	0	1	0	1	1	1	1	13	1	0	1	0	5	2	4	2	0	1	1	1	0	1	2	0	5	7	11	1	9	14	0	9	1	0	0	0	1	0	0	1	3
BuzzMachine	1	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	1	0	0	0	2	1	0	0	0	1	0	0	2	0	2	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	3	0	0	4	1	0	1	3	0	0	1	0	2	0	0	0	1	0	0	2	0	0	2	0	0	0	0	3	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	1	0	1	0	2	0	1	1	2	0	2	3	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	6	1	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	0	3	0	1	0	1	3	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	1	1	0	3	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	2	0	0	1	1	0	0	0	3	0	0	5	0	0	3	0	0	0	0	0	1	1	2	0	0	0	0	1	1	1	2	5	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	1	0	0	0	1	2	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	3	2	1	0	0	0	0	0	0	1	0	3	0	0	0	1	1	2	1	7	0	0	1	0	2	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	2	0	0	2	0	1	3	0	0	1	0	2	2	0	0	0	0	0	1	0	2	0	0	5	2	1	0	0	2	0	2	0	2	0	1	0	0	0	0	0
Techdirt.	0	4	21	0	7	7	0	3	18	8	4	2	8	9	5	7	2	22	5	0	10	25	2	7	11	5	36	1	13	3	0	4	23	10	4	1	7	3	26	18	46	18	10	10	14	7	6	1	2	0	7	12	0	2	13	14	17	8	2	3	9	22	8	12	6	0	6	1	12	1	5	1	3	11	3	2	1	4	4	17	2	60	49	1	7	10	39	5	12	14	5	5	5	5	5	3	5	5	22	3	19	18	8	8	2	2	20	6	13	1	7	4	5	8	27	9	19	2	15	23	8	4	59	16	12	11	6	3	60	0	6	15	5	5	3	14	9	19	26	51	9	21	31	4	3	2	0	0	4	3	21	1	3	3	0	1	1	15	24	10	4	3	3	28	6	6	1	23	3	8	8	39	13	2	13	4	2	14	4	10	4	7	6	2	0	26	2	5	16	2	5	8	7	7	0	3	1	7	7	6	3	10	21	6	59	15	6	9	5	33	0	3	6	0	14	2	5	4	4	8	12	3	6	9	17	1	16	1	62	0	20	10	42	19	7	7	0	3	3	12	6	4	4	20	6	9	10	4	11	10	7	3	13	23	4	7	4	38	15	2	44	10	9	10	5	16	15	1	10	9	25	2	1	2	0	6	19	0	11	14	20	6	19	3	5	13	16	5	3	2	5	32	3	6	19	5	13	6	3	2	10	33	2	11	8	2	3	10	6	9	18	10	5	9	10	15	3	0	31	10	1	3	4	5	1	2	2	7	11	7	17	6	15	5	4	8	8	2	5	1	1	9	3	3	0	2	4	2	1	13	9	45	3	3	8	5	10	6	38	5	3	6	8	5	3	6	35	10	18	3	10	1	1	0	20	11	2	11	3	48	28	8	1	1	5	6	6	6	2	10	39	5	6	5	4	3	34	6	11	6	14	17	1	59	9	9	5	5	4	15	10	2	36	15	5	62	4	1	10	4	17	9	3	10	7	5	45	16	0	13	2	7	17	43	2	0	55	43	2	18	3	7	16	8	27	5	8	14	37
PerezHilton	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	8	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	6	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	3	0	1	0	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	1	0	1	2	2	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	1	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	3	1	0	1	0	0	0	1	0	1	1	2	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1
Gawker	0	0	5	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	1	0	4	0	0	0	4	2	0	0	0	0	0	0	3	0	1	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	2	0	2	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	1	3	0	0	1	1	4	5	0	0	1	0	2	2	0	0	5	1	0	1	2	1	1	0	0	0	1	0	2	0	0	4	0	0	0	3	0	0	0	5	0	1	0	2	7	4	0	0	3	1	4	0	0	2	1	2	1	0	0	2	2	0	0	2	3	1	0	0	0	2	0	1	0	4	1	0	1	0	0	0	2	26	0	0	0	8	0	2	0	0	1	2	0	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	2	0	3	2	0	2	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	15	0	0	0	0	6	0	0	0	0	0	3	0	0	2	2	0	0	0	0	2	1	0	0	3	1	0	0	0	0	2	0	4	0	0	0	0	2	1	1	0	1	2	5	1	1	0	0	6	0	0	0	2	1	0	0	0	1	0	0	0	0	3	1	0	0	0	1	2	0	3	0	0	0	0	3	0	3	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	1	0	2	0	1	0	0	0	0	0	2	3	1	2	3	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	4	2	0	3	4	0	1	1	1	0	4	0	0	0	0	0	0	2	0	0	3	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	6	2	3	0	0	3	0	2	0	1	0	0	1	0	2	1	1
ongoing by Tim Bray	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	1	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	1	1	4	0	0	2	0	3	0	2	0	1	0	2	0	1	0	0	0	0	1	2	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	4	0	2	0	0	2	1	2	2	0	4	0	2	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	2	0	1	0	0	1	0	0	0	4	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	6	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	3	0	0	1	0	0	0	1	0	1	0	0	0
Just Blog	0	0	3	0	0	1	0	0	2	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
The Viral Garden	5	10	26	6	0	34	4	9	4	5	2	4	0	1	4	8	1	8	2	0	6	36	2	1	7	1	73	6	2	1	0	4	25	5	4	4	1	3	8	0	70	6	3	14	0	0	1	0	1	3	7	7	1	6	11	15	23	3	0	0	0	18	7	4	5	2	8	1	5	26	3	9	5	1	3	4	1	134	9	13	8	6	12	6	12	9	10	2	0	24	0	10	10	5	5	6	1	1	10	2	24	16	5	1	5	4	0	13	3	7	10	1	2	14	8	4	0	3	3	17	7	3	3	20	11	6	5	1	0	0	11	5	1	3	1	17	0	22	50	90	6	8	39	3	22	3	0	3	41	5	28	4	3	3	0	9	2	14	22	18	6	2	1	9	1	8	2	16	2	2	2	26	122	0	2	9	2	31	13	79	7	14	7	4	1	25	5	1	10	28	3	10	0	3	0	5	11	11	6	11	8	1	8	1	20	3	0	8	15	10	3	14	8	2	3	1	3	8	2	0	1	0	5	5	14	8	71	1	17	3	29	7	18	25	3	10	11	0	10	9	6	10	7	1	2	15	7	4	14	16	3	6	13	0	0	3	3	69	20	9	21	1	1	1	7	2	11	0	0	4	12	1	4	2	0	4	8	0	13	30	26	3	33	1	1	5	24	5	8	0	2	10	4	3	16	3	3	5	0	0	2	0	3	8	8	6	0	4	14	9	0	1	15	3	6	7	2	6	24	9	3	2	11	13	2	7	2	0	13	8	0	9	19	2	3	1	11	17	21	0	0	0	4	3	0	11	10	2	2	1	13	30	0	3	56	68	1	5	14	5	3	9	6	13	8	2	72	4	6	8	5	0	0	0	1	10	0	24	7	19	40	0	0	4	4	10	2	3	5	2	8	6	11	1	1	7	8	16	0	7	2	3	46	41	1	12	0	1	1	7	5	2	2	0	2	8	6	0	6	0	8	4	2	10	3	0	20	22	0	10	0	5	6	32	2	2	21	15	12	14	1	6	0	18	40	7	25	7	17
SpikedHumor - Today's Videos and Pictures	0	0	102	2	1	1	0	0	2	0	0	2	0	0	1	6	0	0	2	1	1	5	0	0	0	2	3	4	1	1	0	0	4	1	0	1	0	2	1	0	2	2	0	0	0	1	1	2	2	0	1	1	0	0	0	0	2	0	2	0	0	1	4	1	0	0	1	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	7	0	2	1	3	3	4	4	0	2	0	0	1	1	0	0	2	0	13	2	2	0	1	0	15	1	1	0	0	0	1	0	1	3	1	0	1	1	1	0	0	2	1	3	0	0	3	0	0	2	0	0	1	2	0	2	3	0	1	3	2	1	6	0	0	1	3	0	2	1	1	2	4	0	0	2	0	0	3	0	0	1	0	0	4	0	2	1	0	1	0	1	4	0	1	4	0	6	0	0	0	0	0	0	0	0	1	0	1	2	3	0	1	0	0	2	0	0	1	5	3	1	9	1	0	0	2	0	0	1	0	0	1	0	2	1	1	0	3	3	1	3	0	1	0	0	7	0	0	0	5	7	3	1	1	0	0	2	1	0	2	0	0	0	0	0	3	1	0	0	3	0	0	0	3	1	2	2	12	2	0	0	0	3	2	0	0	3	1	4	2	2	0	2	3	3	0	2	2	1	0	0	0	5	4	0	0	1	1	2	0	0	0	1	1	0	3	0	0	1	1	0	1	0	0	0	1	2	2	0	0	1	0	7	0	0	2	0	2	0	0	1	0	0	0	0	1	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	2	2	2	5	8	1	3	0	0	0	1	1	0	5	0	3	2	2	0	0	102	0	1	2	1	1	4	0	1	4	1	2	0	0	0	0	0	1	0	2	2	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	1	0	2	0	3	0	0	0	9	0	0	0	0	2	1	0	0	2	3	0	1	1	2	0	0	1	1	0	0	0	3	0	4	2	0	0	4	3	0	0	0	2
